NIK,Nama,Tujuan,Tanggal,Jam
12345,Pengunjung 0,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 1,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 2,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 3,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 4,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 5,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 6,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 7,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 8,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 9,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 10,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 11,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 12,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 13,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 14,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 15,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 16,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 17,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 18,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 19,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 20,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 21,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 22,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 23,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 24,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 25,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 26,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 27,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 28,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 29,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 30,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 31,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 32,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 33,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 34,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 35,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 36,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 37,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 38,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 39,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 40,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 41,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 42,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 43,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 44,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 45,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 46,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 47,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 48,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 49,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 50,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 51,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 52,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 53,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 54,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 55,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 56,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 57,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 58,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 59,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 60,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 61,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 62,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 63,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 64,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 65,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 66,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 67,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 68,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 69,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 70,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 71,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 72,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 73,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 74,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 75,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 76,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 77,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 78,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 79,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 80,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 81,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 82,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 83,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 84,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 85,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 86,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 87,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 88,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 89,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 90,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 91,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 92,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 93,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 94,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 95,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 96,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 97,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 98,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 99,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 100,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 101,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 102,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 103,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 104,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 105,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 106,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 107,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 108,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 109,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 110,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 111,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 112,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 113,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 114,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 115,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 116,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 117,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 118,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 119,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 120,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 121,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 122,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 123,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 124,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 125,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 126,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 127,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 128,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 129,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 130,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 131,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 132,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 133,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 134,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 135,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 136,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 137,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 138,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 139,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 140,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 141,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 142,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 143,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 144,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 145,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 146,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 147,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 148,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 149,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 150,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 151,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 152,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 153,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 154,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 155,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 156,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 157,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 158,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 159,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 160,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 161,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 162,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 163,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 164,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 165,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 166,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 167,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 168,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 169,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 170,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 171,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 172,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 173,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 174,Uji Coba,19-11-2025,16:10:56
12345,Pengunjung 175,Uji Coba,19-11-2025,16:10:56
